id,key,message
a7daf5e7-abf6-44cb-b910-d83de845317b,name,Facilities Management
0df6b664-9e2f-490c-b52e-1ae80cfaa54b,name,Facilities Operations Management
0a0e81e0-3150-45d6-993a-9c2a3895be21,name,Facilities Project Management
454adcfd-64c3-4dd9-abb6-229edb68243f,name,Facilities Technology and Systems Management
e311606c-ebef-42d1-9334-d6727b35e885,name,Facility and Resource Management
c8808620-a645-4b5a-9b64-59e65d336fba,name,Facility Maintenance and Operations
9ddcbcbb-44f8-4630-abf5-9d84ac2d2793,name,Facility Maintenance Management
ea88fd47-0e35-4ee9-88ac-25aecf3671d9,name,FactSet
a6358670-7b71-4549-9d1c-c3623ba4853b,name,Faculty and Staff Coordination and Development
c57fb8e4-e1ed-42ae-9802-9708b9936de2,name,Failure Analysis and Root Cause Investigation
d0c600be-74b6-4df9-b1eb-4ec82415529c,name,Fairlearn
8a35eb2e-bd14-4ca6-8fb0-9ff7d8261a5b,name,FAISS
76f86586-9c0d-4eb7-99eb-8ff659c22693,name,Family Leadership
88d4d8d2-8036-47f3-9730-a9957a111ef2,name,Farm Business and Resource Management
d99fd72b-1f95-4216-ab8d-64fc3f42371a,name,Fault Detection and Root Cause Analysis
bba5f3da-9419-4d34-aeec-10f81ff969ef,name,Fault Management and Incident Response
789bf989-2804-4941-bcc8-89510cb15f1f,name,FEAF
d6ccc86a-04f7-42cd-8002-88fbf137175f,name,Feasibility Analysis and Site Assessment
ea01b101-5a45-4f5d-8229-52ba163ca8bb,name,Feedback and Coaching Communication
8ed75649-580c-4e4b-872c-8fb9ef93c7d1,name,Feedback and Reporting Mechanisms
e5fbb2fc-5de3-46d3-882e-9ff317030399,name,Feeding and Nutrition Management
6e23a5e4-fd34-4012-98e3-f31527d4166d,name,FEKO
676c1e99-67d4-48b6-8e40-75e1159be7b9,name,Fenergo
b403d023-a170-4174-ab7e-c90d5c785d6b,name,FEniCS
5ffdee9e-0312-45e6-99a6-f28a7cb8fe1c,name,Fertilization and Nutrient Management
67d16611-990f-48e1-91d7-005f89125919,name,Fetch API
9f2916d9-52a7-4b87-aa4d-d00b99f5abdd,name,FHIR (Fast Healthcare Interoperability Resources)
938108c4-4d83-45d8-97aa-488511275fa6,name,FHIR Clinical Reasoning Module
da5315e8-b882-46dd-b32b-db696de3a4c5,name,Fiber Optic and Transmission Systems Design
2edd7285-2357-4751-b132-744d10ddd4fa,name,Fiber Optic Sensor Applications
95d85868-3746-49cf-b82a-030e8ade4e62,name,Fiber Optic Sensor Technology
49fb6651-4d35-4f3b-9fec-246b212624e9,name,FICO Falcon Fraud Manager
13fc7a1a-a8fd-4b2e-8469-f641e816ca78,name,FICO Loan Origination Software
9ed3277b-a816-4d1e-bc27-3cb830f20c05,name,FICO TONBELLER
c51b98d4-d7d2-466e-bca2-a5413b19bfaa,name,Fidessa
75ddc4b2-a3b6-428a-a6d1-d30124d921b9,name,Field Operations and Site Management
5a3e4f31-0683-4bd7-acb3-c6a933e0dfd6,name,Figma
116ad036-e92e-4adc-97f5-6e4b479a259d,name,File and Data Management
62f09078-208d-491f-874d-2b05ebc5998a,name,Filecoin
1fea8ed8-d9dd-42c6-9ed3-b0ea174ac2a1,name,Final Cut Pro
8f24785a-22f2-4624-9ce4-e746ffd91c8d,name,Financial and Accounting Principles for Insurance
fe3d261f-0ba5-43a2-8c03-31b963fb91a5,name,Financial Communication and Stakeholder Reporting
c6d658c7-1d95-40d4-b214-55d536952dfa,name,Financial Crime Compliance and Anti-Money Laundering (AML)
363c7a17-70db-4243-9761-4c873380e188,name,Financial Data Analysis and Visualization
1fb0b2a7-266a-4f63-ae59-a957f79d3868,name,Financial Data Governance and Privacy
764ce882-da28-454b-b1e3-b5455305860d,name,Financial Governance Performance Measurement
7914667b-c703-4a4e-bd40-aa3a9c2ea85e,name,Financial Literacy and Analysis
4bea89f3-cafc-405d-b197-68b62490a391,name,Financial Management and Budgeting
a3cd0c92-ccda-4e68-8aad-804c0abd9d4c,name,Financial Planning and Advisory
00db9ac1-9ce3-4830-ab6c-23c049371ddd,name,Financial Planning and Analysis
d1fac35e-3c91-4b6e-b9b4-662fb10ea483,name,Financial Policy Development and Governance
6fd9000e-d579-454e-b006-4886328b75cc,name,Financial Product Design and Structuring
d713920e-e957-423c-8333-328cb4791d90,name,Financial Product Documentation and Communication
c76ebb04-1bec-4c1c-9a28-bc5a07df19ac,name,Financial Product Marketing and Distribution
9407b8ac-ec3d-4cc2-ab75-de48c8c635f4,name,Financial Product Portfolio Management
26817f91-03ef-4904-91a5-699e65353a6f,name,Financial Product Risk Modeling and Analytics
bc9da666-4e42-4e5c-bc8c-99ad3bfaddd2,name,Financial Product Training and Enablement
1a49d584-c56b-4025-81ff-818ce60f76fb,name,Financial Reporting and Disclosure
78adfa9a-dab8-451e-a066-689fd3bc9d77,name,Financial Risk Assessment and Management
eb13bf8e-c244-4dfd-9b0c-bef8c3d86872,name,Financial Risk Management
a788c25a-56ee-4488-a05e-9fdb5ce846cb,name,Financial Risk Management in Construction
d0187212-fcb9-46b1-80f6-3bd6731d7a41,name,Financial Risk Reporting and Communication
592a4ae5-a5b2-4f84-827e-ee57a6c9cd60,name,Financial Systems and ERP Management
7f6c6728-f315-41cb-92a6-781024a65348,name,Financial Technology Compliance and Ethics
46d90c4d-0042-4851-bc93-1f2788ff3a84,name,Financial Technology Project Management
0b07f24d-1e11-4f60-842a-6751a705593f,name,FindBugs / SpotBugs
33957b88-33e0-407f-83e4-d7043c2a97e0,name,Finishing Works Execution
8eabd023-08f9-42f7-a441-0bec4cf4feae,name,Fintech Ecosystem Development
9c236852-55be-433d-ba4a-df03c3d8cfcc,name,Fire Safety and Emergency Preparedness
103e2d6d-be17-4dce-bf27-24cbd976f528,name,Firmware Development for IoT Devices
869d6322-1543-44b2-9acc-082ca13d5658,name,FIS Profile
68bd2d48-b3e0-410b-9404-8a380fb6a299,name,FIS Quantum Treasury Management
5a6fb588-4342-4ae6-b992-8f34e1d5011a,name,Fiscal Policy Development
63b2691f-b63f-4eca-b030-c1607917edd1,name,FIX Protocol
0267afb3-11ab-499b-80a6-75c4f54d7b7e,name,Fixed Asset Management
d6653652-5ec9-4aa0-ab3b-960f80cfc37d,name,Fixed Income Securities Accounting
900eb6c8-4686-4681-b447-01d95de51b2d,name,FLAC (Free Lossless Audio Codec)
e0c8793d-2375-4198-8f94-5ebf521bddb4,name,Flask
f6dd41a3-1ec8-488f-b563-e232ab5f11df,name,Fleet Scheduling and Dispatch Management
f3c1e6c9-a8d5-4dad-acaa-d42feb9d3450,name,Flight Control Systems
59b3530c-27ae-4281-8b24-d094abf10872,name,Flight Operations and Procedures
68e287b2-df56-42ae-a438-9a7e8171b219,name,Flight Simulation Training
7c2ae80d-6f38-43d6-8e34-8546b58fa2f7,name,FloQast
32efdfef-ea87-4dec-8f5e-17335b58dd54,name,FlowJo
c77c5c40-27b1-4515-a26a-83d2901c0bd4,name,Fluid Extraction and Well Operations
7740be2f-9dec-41d3-a84e-0f73a7c48a8c,name,Flutter
52c0b195-8eec-4952-a6c0-64a97ba4f787,name,Flyway
ebf9f5f2-be25-4417-b56d-5a18cf26cd57,name,Food Safety Auditing and Inspection
1a4c6f89-9d59-436e-9f79-ceadc8254027,name,Food Safety Documentation and Record Keeping
7d6614b8-f0f6-424b-8f9b-58ca3f42e8cb,name,Food Safety Risk Assessment and Management
1f24f65f-2d12-4e70-b5e3-2bf1743dd15a,name,Food Safety Standards and Regulatory Compliance
a0ff9fc3-3465-486c-bcc6-3dfc12f061ff,name,Food Safety Training and Communication
348fc0ce-04ab-4c04-a754-6c2002663508,name,Food Safety Training and Education
8eb48fb7-63fb-4f97-bfd0-bc3801013a62,name,Foodborne Illness Prevention
e017a9e4-d043-4dfb-b056-70835391e49b,name,FoodLogiQ Connect
05827e11-03a6-43a2-81ac-c699c4c0e137,name,Foodservice Operations
a37c87a2-23d5-4881-beb0-a71b0deb0832,name,ForeFlight
671eb8ac-975e-4b5d-b68b-e548ecf3898c,name,Foreign Language Communication
50781de8-24d9-45ff-8d4a-eb2254e79ce3,name,Forest Conservation and Sustainable Forestry Management
ad5be6f9-1028-4992-bc77-3d861f96d896,name,Forest Data Management and Reporting
2341bbd9-5450-4663-b306-dc6a09ac7207,name,Forest Ecology and Biodiversity Conservation
7ddc60f1-9558-4aa9-b556-b7c27b7a1ff5,name,Forest Economics and Financial Management
54a84cf5-19a8-45dd-b47c-0ef57538ab35,name,Forest Equipment Operation and Maintenance
a3653455-0fd9-4fa6-8c17-c87fdb93fc75,name,Forest Fire Management and Prevention
1840cda5-febf-4ab7-8bf6-6e021f71433c,name,Forest Health Monitoring and Assessment
b403d3cc-6e61-49da-8dd8-1f5ad4d788d8,name,Forest Operations Planning and Logistics
98618da9-57cc-412f-a75d-1244442b8996,name,Forest Policy and Governance
b8583a3d-a4ba-4d27-acf3-513ceae53c61,name,Forest Resource Inventory and Assessment
be48fae1-0e80-4c91-833e-abf6b9ae09ff,name,Formal Methods
4afadcd2-7e0d-4da5-aa7b-fb9c266d5714,name,Fortify Static Code Analyzer
9f158eb9-25d1-4257-905a-54a4325e8330,name,Fortinet FortiGate
2ed04d7a-b637-4b52-9988-a2b2f5e501f8,name,Foundation Construction and Installation
5f37a115-2b93-42c0-99c3-ba5e8137cea1,name,FoundationIP
67d20829-6af5-4fc2-8cf8-9ec3ecd9cc4d,name,Franchise Evaluation and Selection
331fef96-6896-4d82-8713-5514ceae052e,name,Fraud Detection and Prevention
b810e6ad-e874-4f27-8a73-149df056be79,name,Fraud Detection and Prevention (IUCM)
4be7ea18-fb5d-4ddf-bdd9-f31cba87e86a,name,Fraud Risk Management
87647392-5625-4f82-84ba-f362332587af,name,Fraud Risk Management (FRMC)
