id,key,message
b5da3c06-7196-497b-b3d1-905d3714cf9e,name,Internet of Things (IoT) Applications for Construction
d4f72fd5-bad6-4190-8a6c-ba4706161cf4,name,Internet of Things (IoT) Systems and Device Management
92395c07-465f-4606-924a-6877dc10854e,name,Internet of Things Integration for Digital Transformation
d63807fc-7f80-4d12-8cb4-0120952fe182,name,Internet of Things Solutions
667e046b-ef6c-4708-8c5b-5917137c6932,name,Interoperability and Integration of Government Systems
a38becae-a571-427f-8f19-8c13b6dc2dcb,name,Interoperability and Standards Compliance
a375a4b5-2a17-4d7f-8acb-1b1f9f508fd6,name,Interpersonal Relationship Building
4bdc4afc-409b-49e3-960d-7feff3775d44,name,Interpretation and Communication
518dd29c-3f6a-4730-ab40-fff372fa6079,name,Intrusion Detection and Prevention Systems (IDPS)
57dda2da-5a48-43d6-984a-8819aaa7b043,name,Inventory and Spare Parts Management
6d50b7b3-04c9-4686-82b9-4dcdade675bf,name,Inventory and Spare Parts Management for Fleet
4a09c662-90ea-49d0-889b-523bf56e6f15,name,Inventory and Warehouse Coordination
3bfb7cb5-6e50-452a-8f76-2f2817add7d2,name,Inventory and Warehouse Management
9db7903f-48a4-49d0-8452-e545f658b608,name,Inventory Data Analysis and Reporting
fb132825-e24a-488b-bfe3-936195829867,name,Inventory Management
35e8568e-c789-4374-aae5-ab1a5d28c63d,name,Inventory Management
5a0f8209-cde2-4153-906a-fb572d8b6c71,name,Inventory Management for Extraction Products
1e2fabbe-c6d1-45b3-89ba-f5ae1832d8df,name,Inventory Tracking and Reconciliation
af64157c-5bc4-4be6-ae7d-96adf43308f9,name,Investment Analysis and Portfolio Management
bb8a6111-0831-463e-bab1-f3fc3bcb08da,name,Investment Policy Development
3ca9a954-e61c-4910-abec-c14325811b19,name,Investment Product Knowledge
1e5ea0b9-4549-4529-90be-fd5bc6ebef70,name,Investment Strategy Development
122c71b1-78eb-46d3-99d0-93552d0048a5,name,InVision
7ff98ee4-b233-4de9-bece-8ceaac5e0506,name,ION Treasury
af8c9e77-bc6b-4aa5-a1b8-36763a56caa5,name,IoT Cloud Integration
fdbcb5f7-c8d5-4fe5-b2aa-c684c335fdb0,name,IoT Data Analytics and Machine Learning Integration
5094e8fa-daa9-4544-8ca7-00ebbbf07533,name,IoT Deployment and Provisioning
751355ab-4d7f-4ae8-bb1a-144e6a6e64f9,name,IoT Device Security
891c7460-4b04-45a4-8d3f-6d7991f43751,name,IoT Network Protocols and Communication
4cd4c653-c447-49f9-ac53-23d77c24754b,name,IoT Operations and Maintenance
22fab212-aae5-4ae1-92d3-f593fd9938df,name,IoT Platform Management
8c5089fd-5afa-4943-b1e2-13b0c218e455,name,IoT Project Management
0bd7be3c-52ca-49a9-98f9-3eb3c67efa60,name,IoT Regulatory Compliance and Privacy
bf546430-56f0-442a-bc37-85b792a30197,name,IoT Risk Management and Resilience
45f24494-d90c-4d6c-af10-4d56b5add5ad,name,IoT Standards and Interoperability
758f6d6d-3ca0-454e-ba9f-651face522a5,name,IoT System Architecture and Design
0375487f-88fa-4739-915d-e40f375f23c4,name,IoT Testing and Quality Assurance
656d2f69-05ee-41f6-9628-d149bd57d319,name,IoT User Interface and Application Development
a27d0452-fd81-4584-b76c-a142660fae69,name,IPFS
b9a62e82-7dcf-483c-b487-0e3c748a757f,name,IRI
d4a6d2f5-9203-4079-996c-96ef2d3ea551,name,Ironclad
4c4068fd-952f-47ad-bbf2-6efc84166a50,name,Irrigation and Water Management
5b311e3e-5243-4b46-ba95-78d346ad76b8,name,Isabelle
fa4aaba3-3372-454b-bbab-f7fe8336456c,name,ISC DHCP Server
e114d8ca-4bc3-48fd-8d86-94e2ca333a11,name,ISO 20022
4cd1075f-09f4-40ca-a0a3-62bae8937e9d,name,ISO/IEC 27001
17d1f6f9-346a-4815-aca6-ac9e13ea36a4,name,ISPC (Intel SPMD Program Compiler)
83d38cec-e29c-4b09-8cf4-2d4fa3216bc3,name,Istio
7b64da24-d53f-4796-aad7-0260d99de40f,name,IT Control Design and Implementation
d2404e84-18bb-4a9d-a007-0cb95daf91b5,name,IT Governance Frameworks and Practices
26bb96cc-a061-49bc-938a-04374ed6508b,name,IT Human Performance Management
9d6f5372-b0ef-4380-a5f0-f9d9163eade5,name,IT Infrastructure Management for Government
4093ce2c-a536-4313-b848-e4239f48cc52,name,IT Operations Management
beb1ad6a-cb4b-4004-af12-8c3a326d4eb9,name,IT Service Continuity and Availability Management
cd6c40fe-e84e-402c-ac19-66d7cb2b0b68,name,IT Service Management Tools and Platforms
55e883ee-d9f5-41a5-8651-452326ee4ea0,name,IT Service Reporting and Metrics
bd019dea-46d0-49f3-a81c-5fc311f8f58a,name,IT Service Strategy and Governance
cda85302-d770-4067-8001-092be9236b42,name,ITIL
f0727952-be3c-4985-b445-8fb745f919ce,name,ITU-R Recommendations
af9f856b-0858-47b7-8461-f01359d0ebeb,name,Ivalua
a7724a42-a1f8-419b-aa2c-196618635d5c,name,Ivanti Service Manager
0e8af642-6b5b-4388-ac6b-cf1bfe3ba580,name,Ixia
8a6ef394-7aae-43e7-ad6b-802c7b063661,name,Ixia Network Test Platforms
281a17f6-f750-4352-a8a9-244bed157188,name,JaCoCo
bd9ab18e-f7c4-4f25-9776-130a89fd421b,name,Jaggaer
f8149e55-5581-424c-8e62-81dca5df3766,name,Jama Connect
6b5fed27-d9e4-4240-93ac-44399e5dfb6a,name,Java
94c2cd14-46b1-45b5-8c54-53c670af4c6a,name,Java Character Encoding and Formatting
1eebb661-cde3-46e1-8b94-a91328bc36a3,name,Java Programming
8276657e-3fcb-47c4-ac79-43dee09687e3,name,JavaFX
ce332c5d-2473-4265-bdf5-17a9d2ab2083,name,JavaScript
9e4116de-bdde-464f-82e0-72e19724c7e8,name,JavaScript Programming
4018455d-c24d-4308-ba9a-1dadb63949fb,name,JDA Transportation Management (Blue Yonder TMS)
b3b5ca8d-78f3-4ecf-ac51-250ef0e2bb0e,name,JDA Transportation Management (Blue Yonder)
08c2b8af-bd50-4e5e-9009-62385adbd8ee,name,Jenkins
22e6dd2c-fabd-42f2-a36b-06b88399d11e,name,Jeppesen FliteDeck
28d9148e-3f02-439d-8d3a-8af4431acbdc,name,Jira
e5b0ef8b-0f10-427a-848d-ea7ce6340468,name,JIRA
13fcb6c8-d5c5-4b7c-9de0-622fdc5c0b5c,name,Jira Align
96523789-8a48-429c-878d-a5b7dd15847e,name,Jira Portfolio (Advanced Roadmaps)
a65d30ed-7af2-49e6-8236-75347d036847,name,Jira Service Management
1df48ff9-707d-4e8c-b577-22ce502831b4,name,Jira Service Management Change Management
5838ea6b-678b-40ea-8c33-896fa58b8ee5,name,Jira Software
7c3a0932-d613-4708-9bf6-40952c34f824,name,JMeter
251252fa-ce37-4cf7-9762-08c2992c9527,name,JMP
574623e0-452e-4cd5-9f57-cebf193ffbdb,name,JMP Statistical Software
8f83cab6-d36f-4886-8c64-f244b2b3370f,name,John the Ripper
160b7f4b-c0a3-40bb-96ef-3ebd6528e1a2,name,JProfiler
d2860994-4225-4e3a-8525-dea47a171953,name,jQuery
682ae3b9-b011-4720-a7b3-aa93e3faf3af,name,JSON
b6abfbc1-c978-41c5-be17-296da9c0c333,name,JSON Schema
b91ca915-3d23-4164-83ba-a0f8ab18e532,name,JSR 286 Portlet API
51593229-05f0-4dcc-9891-16ef5fe86742,name,Julia
011a0117-9329-48d4-ba8d-bcaa256b0805,name,Juniper Junos OS
a20afd1a-ff75-466a-ad23-7ceec9333bf9,name,Juniper Networks Junos OS
ae22d118-a3e5-4a3f-8edf-fe4f1004e276,name,JUnit
f88d8f57-c99e-416a-bbae-6e4ca4de7e9c,name,Jupyter Notebook
627093cd-7770-4b93-92fd-f22b54061b16,name,Kafka Connect
d5c9ea6b-6561-485c-bcb5-e3c1a461d8eb,name,Kafka Data Streaming and Messaging
1eab1890-4451-4a66-80a9-6716d0e15e1f,name,Kafka Streams
07b04924-621e-4b28-b4f9-6010a7da83ce,name,Kali Linux
9e23ab58-00d1-4c3b-a1e2-cd3ec74de290,name,Karate DSL
e18d7d8d-d380-47ec-af7d-972da1fae700,name,Keil MDK
c7bb6207-2609-4cef-bd4a-dae2619581ed,name,Keras
7265c1b5-d8c4-4cf7-ae24-09eddb178501,name,Keysight FieldFox
f79cedd2-ea5f-4c95-87e6-070b7faace1d,name,Keysight IC-CAP
f3a02ea8-3be9-476e-b926-9fd0d8869289,name,Keysight PathWave
49ce8bb9-75c1-47c2-a5e9-be98ab9b6b12,name,Keysight Technologies Spectrum Analyzers
52f95864-f450-438c-8553-625ace150af7,name,Kinaxis RapidResponse
c281df46-e85e-4f0e-be8d-9b94de17b559,name,Klaviyo
7a80525d-44c7-4f21-93b8-53976a3aa0e6,name,KNIME
03723818-f68d-4282-99b4-146f4f035933,name,KNIME Analytics Platform
4d9f58bd-6ece-4de4-8e1f-ac857d69758d,name,Knit
e83f0bf5-6f6c-4a22-abf7-1b22c8960672,name,KnowBe4
20d21953-0dd3-461c-824a-eacef3d1e936,name,Knowledge Management
1d0aacb1-1e1a-485b-881b-7353380e1305,name,Knowledge Management and Documentation
61bded46-66e7-4607-afcd-7b7735ed4289,name,Knowledge Management for Customer Support
e04bb17b-c620-43f1-a2d4-f3b145a65f35,name,Kong
4d8a106a-f31d-4b4e-ae97-ae16ecfd57c4,name,Kong Enterprise
a3cbf197-55bd-49f9-b3db-027320e60b95,name,Kong Gateway
67b4bd52-0056-4e58-b9c8-bf1c62c7e615,name,Kotlin
63d16aaf-6990-455f-8c37-d1601334ddae,name,Kronos Workforce Dimensions
