id,name,locale
30031be3-a045-4be5-a578-710556d316c0,@RISK,de-DE
f375a5b9-be97-414c-ade2-c647901c56b1,3D-Modellierung und Simulation,de-DE
2a226f54-6345-4cfd-b4a5-bf75eb00bf04,3GPP-Standards,de-DE
efe3fe0b-3955-4da3-8da9-95e5fb112a9c,5G- und 6G-Netzwerktechnologien,de-DE
4f3a3a3d-1ffc-4faf-acb3-e8bc09a031ba,5G NR (New Radio),de-DE
b5f052d7-8ed9-4f82-ad8e-74caedec3c7a,5G NR Protokollstapel,de-DE
cbcc528a-304e-495e-9c12-feecb24ca497,AAC (Advanced Audio Coding),de-DE
d40b957f-78f1-4782-a8bc-23627a9d45d7,ABAP,de-DE
d8882e5b-6075-46de-be65-53175a6416bd,ABAQUS,de-DE
02ad0231-cf1b-4f70-8eba-f1e502c758e5,Akademische Beratungstechniken,de-DE
437b4b9c-6de8-4be2-9443-5d985cc8508e,Zugangskontrolle und Identitätsmanagement,de-DE
fba9ab9e-13ca-488f-86d8-03dd26dcad1e,Barrierefreiheit und inclusives Design,de-DE
750e5462-5cad-4206-ac1d-f24337032746,Barrierefreiheit und inklusives Design für die digitale Regierung,de-DE
7ad67a1d-d973-4ce1-b0b5-bd2fa3059ae5,Kontoverwaltung,de-DE
ada114ad-aaf8-4640-a5cd-a41661f1f883,Account Management (BOS),de-DE
91c4a2bb-e2b1-4068-9179-39e4f9f3b10b,Verantwortung und Leistungsmanagement,de-DE
14382b89-66db-4630-ab9a-1919c43c04d8,Buchführung und Abrechnung,de-DE
42d56e01-8625-4e3d-9b88-3a05d4302900,Kontenabrechnung und Close-Management,de-DE
73e78f00-9ea3-4ba1-966b-b1ec2ee3b3bf,Akkreditierung und Zertifizierung,de-DE
e004a984-45d9-46d5-b6bf-608ef8cd0357,Akkreditierungsprozesse und -standards,de-DE
42ed424c-ecbf-48a0-a81b-5138aeaa2066,ACI Worldwide,de-DE
b0c3570f-283d-4b57-9f1b-a471cc1a2cf3,ACI Worldwide Zahlungskartensysteme,de-DE
3c32f16c-6f44-425b-939b-c71467d40b7f,ACL Analytics,de-DE
a283a7a0-5ef4-4d42-8964-77c5f75e0611,ACL Analytics (Galvanize),de-DE
966dd18d-e6ba-42d3-87d2-f719b175b3ae,Akustik,de-DE
874994b2-2f46-4142-b987-371601a95d4e,Actico,de-DE
1a97cbbe-82aa-4a31-8d94-ede0fb297b61,"Dies ist die Daten zu Fähigkeiten über verschiedene Branchen. Dies wird verwendet, um die Fähigkeiten-Intelligence-Plattform zu entwickeln.",de-DE
0265946f-ada0-45f9-ba0c-ba7272d50af3,Actimize Fraud Management,de-DE
248cb500-e4dd-4a0c-8f99-b7b7b25a4649,Aktives Zuhören,de-DE
ec590bcc-3328-4250-96f5-37c1717f216f,Aktiver Risikomanager (ARM),de-DE
370a7265-fca7-4927-a598-793a1f6a6c16,ActiveCampaign,de-DE
395264b8-883c-4f52-91c5-531c6444cbec,Ada,de-DE
34dc3c97-64a0-4d45-8039-2ee39f3caaa1, Adaptives Beamforming,de-DE
f28f3bb0-c3bd-4369-bd09-ff27a5e88fe5,ADF (Application Development Framework),de-DE
507ae085-0011-4f30-9998-9950b053a16d,Adhäsion und Klebstoffe,de-DE
0a7a4b13-732c-4ae6-b60f-062c1199f3c4,Adobe Acrobat,de-DE
de73578f-01d5-4a0b-b7f3-5f8175c044d0,Adobe Acrobat Pro,de-DE
fa2800e3-567a-4ae5-8c70-73b762c38195,Adobe Advertising Cloud,de-DE
77fa8b4e-7a77-4996-8ddf-26b63d062c8a,Adobe After Effects,de-DE
c1a007d8-5d91-4e2f-8403-f3edc1560543,Adobe Analytics,de-DE
9e274e05-fb82-450f-a108-5c6ecd7a6138,Adobe Captivate,de-DE
70ee8ee0-ea32-4f87-811d-6d86112c0de8,Adobe Creative Suite,de-DE
1796c683-4c56-4fd7-8491-854dd6edf0e5,Adobe Experience Manager,de-DE
bb7da1c9-cbc9-40b4-966b-3b0b47c1f35e,Adobe Experience Manager (AEM),de-DE
325bc715-07dd-44d1-8111-2c9cd71dc494,Adobe Experience Platform,de-DE
0f7ae281-0913-47a4-b2ab-ec25380bd052,Adobe Illustrator,de-DE
d05e81d6-a909-4877-a15e-8dc5098d00cf,Adobe InDesign,de-DE
183d4c8e-8e78-4f37-b2ba-148fa55b3a8a,Adobe Lightroom,de-DE
9c57e5e2-6d1c-46ca-abf9-b2e663f9a4d7,Adobe Photoshop,de-DE
8c4da914-44bc-4596-b205-37146c2593d7,Adobe Premiere Pro,de-DE
d01683b7-04a2-41b1-a719-771f72b2b14c,Adobe Sign,de-DE
31697613-0224-4d67-b073-781f1f3d4e54,Adobe XD,de-DE
55714afa-7412-4a85-b7ad-c8f457608b5d,ADP GlobalView HCM,de-DE
ff8cc43e-61ab-411e-ba88-14af27b3e9e1,ADP Workforce Now,de-DE
c27640e3-edec-4ade-b117-f08dcc9f5478,Fortgeschrittene analytische Techniken und Instrumente,de-DE
f8d1fe7a-df5a-42f8-ace9-c5ae34425090,Fortgeschrittene Analytik und Predictive Maintenance,de-DE
ac2f8b7c-4320-4679-849a-48c2f227e7ff,Fortgeschrittene Datenanalyse für das Bauwesen,de-DE
27cf8a04-829e-4ed5-b2bc-51b036ae34b4,Advanced Design System (ADS),de-DE
d3404b72-d87f-4bb3-9f5d-a44337baa149,Fortgeschrittenes Excel für die Datenanalyse,de-DE
7cc8a59a-a9b0-4720-8e9c-52c24ee9b921,Höhere Mathematik,de-DE
0449d453-4bee-45e4-992d-55c1605acf8f,Adverse Event Case Processing,de-DE
329fcfd6-a041-42a2-891e-a4a8dddfdb1d,Werbestrategie und -umsetzung,de-DE
ab77dd25-5aeb-4a76-bcd6-cea834572244,Adyen,de-DE
876febfd-44ad-41f8-a689-94788469b03d,Affectiva,de-DE
7beb611b-bdd4-42d7-a950-02b1c17cc665,AGi32,de-DE
3a7f21c1-ab15-44ed-8418-c707d031a6db,Agile und iteratives Projektmanagement,de-DE
ef92ccb5-334d-485e-adcc-410fb5f1e4e3,Agile- und Lean-Praxis für DevOps,de-DE
a0c04d5b-468e-4638-8879-46bd4c7776a4,Agile- und Lean-Produktmanagement,de-DE
33de9e5a-b87d-489e-be18-3cc8ca88e463,Agile- und Lean-Transformationspraktiken,de-DE
8ebb1a39-8526-41b5-a492-923db8cb72de,Formale Deutsche Fassung von Agile Software Development Practices,de-DE
484ee27f-b56e-4382-99f6-18cdf68e1edd,Agiloft-Vertragsmanagement,de-DE
2e443d94-3788-40e2-84d5-0ad3666f140b,Agiloft Contract Management Suite,de-DE
b7d3f292-85dd-4caa-a112-b3c91291d6ae,Agrarwissenschaftliche Datenwissenschaft und Analytik,de-DE
67527e44-f51c-4443-9e02-e6790b01b3d6,Agrardaten-Sicherheit und Privatsphäre,de-DE
ec197f0f-37d3-417f-9b6a-42e13757199c,Landwirtschaftliche Gerätebetrieb und -steuerungssysteme,de-DE
8ce4a6fb-e130-4d66-85e5-8ee83f68e002,Landwirtschaftliche Ausrüstung Betrieb und Wartung,de-DE
5e5b10e0-5025-4b0f-8589-572bca48d8a7,Landmaschinen-Design und -Engineering,de-DE
d90ecac0-d314-4946-89ac-df1368321202,Landwirtschaftliche Maschinenprüfung und Qualitätssicherung,de-DE
4d39dd74-a7a1-4820-ad1e-81399566eb15,Agrarrobotik und Automatisierungstechnik,de-DE
46587013-7f59-403c-80df-58e53e156350,Agrarische Systeme Integration und Interoperabilität,de-DE
f1dc4297-8570-4179-9d96-48d9061313b0,Projektleitung in der Agrartechnologie,de-DE
5ddd85bd-6262-446c-b929-4c23aa2a2117,Landwirtschaftliche Technologietraining und -unterstützung,de-DE
